Model,Accuracy,Weighted F1,Precision,Recall
MyModel,0.995575221238938,0.9955900104087586,0.995717956037682,0.995575221238938
FinBERT,0.9734513274336283,0.9736924541004472,0.9750010195342766,0.9734513274336283
